roi_label,condition,modality,parcel_category,parcel_name,hemisphere,mean_beta_mean,mean_beta_std,mean_beta_sem,mean_beta_count
lh_tpj,words_scr_objects,visual,tom,tpj,lh,0.0312512872691696,0.2958146001435866,0.12076580480287046,6
lh_vwfa,bodies,visual,vwfa,vwfa,lh,0.250371141094564,0.19774376953152797,0.08072855586112641,6
lh_vwfa,faces,visual,vwfa,vwfa,lh,0.24507211284237018,0.15459923154458324,0.06311487198510304,6
lh_vwfa,false_belief,auditory,vwfa,vwfa,lh,0.31628018814626097,0.18195727486717936,0.0742837464019892,6
lh_vwfa,false_photo,auditory,vwfa,vwfa,lh,0.32600367781855016,0.2070248161064437,0.08451752725905125,6
lh_vwfa,math,auditory,vwfa,vwfa,lh,0.2935961088174372,0.20530601638025014,0.08381583020918298,6
lh_vwfa,nonwords,auditory,vwfa,vwfa,lh,0.3013477130887625,0.2104235209394424,0.08590504269691424,6
lh_vwfa,objects,visual,vwfa,vwfa,lh,0.28353388189244666,0.19022025036167556,0.07765709202176206,6
lh_vwfa,quilted_speech,auditory,vwfa,vwfa,lh,0.2335186312446507,0.11439686501748506,0.04670232457781357,6
lh_vwfa,scenes,visual,vwfa,vwfa,lh,0.1652425143233709,0.11006604027405477,0.04493427278000956,6
lh_vwfa,words_scr_objects,visual,vwfa,vwfa,lh,0.4678834697206316,0.2968238508148467,0.12117782966406186,6
rh_ag,bodies,visual,language,ag,rh,0.1459256233907111,0.14713951906486747,0.06006945711790713,6
rh_ag,faces,visual,language,ag,rh,0.06281107329300638,0.12174932202057516,0.04970395258003416,6
rh_ag,false_belief,auditory,language,ag,rh,0.21769579550335896,0.13321624409610103,0.05438530391424992,6
rh_ag,false_photo,auditory,language,ag,rh,0.09632151172747748,0.17925582767636308,0.07318088520456005,6
rh_ag,math,auditory,language,ag,rh,-0.037200669504245595,0.16715609840399454,0.06824119141404003,6
rh_ag,nonwords,auditory,language,ag,rh,0.07486561647866435,0.20337629740571755,0.08302802573675437,6
rh_ag,objects,visual,language,ag,rh,0.037581120152194496,0.16866004636792295,0.06885517559926041,6
rh_ag,quilted_speech,auditory,language,ag,rh,0.061195507974414746,0.1879158064048665,0.07671630671592498,6
rh_ag,scenes,visual,language,ag,rh,0.18072295477476183,0.2727118435174167,0.11133414390523388,6
rh_ag,words_scr_objects,visual,language,ag,rh,-0.034805158817446,0.17288807019482968,0.07058125909863557,6
rh_antparietal,bodies,visual,md,antparietal,rh,0.15250929374179387,0.19815569838795943,0.08089672511255729,6
rh_antparietal,faces,visual,md,antparietal,rh,0.08774230872860576,0.1554963443493233,0.0634811167539914,6
rh_antparietal,false_belief,auditory,md,antparietal,rh,-0.14926393964767712,0.17873856967868595,0.0729697155112796,6
rh_antparietal,false_photo,auditory,md,antparietal,rh,-0.00519030352350854,0.22193424160620034,0.09060427473112523,6
rh_antparietal,math,auditory,md,antparietal,rh,0.6076709316441157,0.23294023470780073,0.09509745259971066,6
rh_antparietal,nonwords,auditory,md,antparietal,rh,0.07016527122669329,0.1493998320337135,0.0609922260233518,6
rh_antparietal,objects,visual,md,antparietal,rh,0.1008091399072259,0.1357914842189794,0.05543664129194898,6
rh_antparietal,quilted_speech,auditory,md,antparietal,rh,0.03226137792840098,0.10262988104753969,0.04189847348816769,6
rh_antparietal,scenes,visual,md,antparietal,rh,0.16995850027878048,0.19040773137113126,0.07773363082336679,6
rh_antparietal,words_scr_objects,visual,md,antparietal,rh,0.0787737572947667,0.206116263919472,0.08414661238192285,6
rh_anttemp,bodies,visual,language,anttemp,rh,0.306525899860471,0.32427025780709834,0.132382778398024,6
rh_anttemp,faces,visual,language,anttemp,rh,0.24476108207339872,0.20867837803161954,0.08519259108818042,6
rh_anttemp,false_belief,auditory,language,anttemp,rh,0.7580657120895172,0.48654656423133374,0.1986318030785081,6
rh_anttemp,false_photo,auditory,language,anttemp,rh,0.4529306037117898,0.5094647438886298,0.20798811074414295,6
rh_anttemp,math,auditory,language,anttemp,rh,-0.061492242616492145,0.21514876427568205,0.08783411521095984,6
rh_anttemp,nonwords,auditory,language,anttemp,rh,0.13904071344830818,0.3056534854413503,0.1247825129057525,6
rh_anttemp,objects,visual,language,anttemp,rh,0.20438962944755554,0.21897537312312734,0.08939632173120328,6
rh_anttemp,quilted_speech,auditory,language,anttemp,rh,0.024889570441552832,0.10963262941935538,0.04475733353951005,6
rh_anttemp,scenes,visual,language,anttemp,rh,0.3085021001719754,0.3501243761379688,0.14293767800805232,6
rh_anttemp,words_scr_objects,visual,language,anttemp,rh,0.1993772098752851,0.36319254100494125,0.14827273397449373,6
rh_eba,bodies,visual,julian,eba,rh,0.4876590259991646,0.2119867180029563,0.08654321522575192,6
rh_eba,faces,visual,julian,eba,rh,0.4009716269713816,0.23807460217360704,0.09719354934023937,6
rh_eba,false_belief,auditory,julian,eba,rh,0.36129350012937916,0.21060586847983978,0.08597948576855177,6
rh_eba,false_photo,auditory,julian,eba,rh,0.3689657164336619,0.19543317096662127,0.079785257947055,6
rh_eba,math,auditory,julian,eba,rh,0.33832398457186524,0.18523410468364498,0.07562150657270231,6
rh_eba,nonwords,auditory,julian,eba,rh,0.31679527396755214,0.2045050777675789,0.08348884838979345,6
rh_eba,objects,visual,julian,eba,rh,0.3834725811201019,0.1596822406264701,0.06519000175319563,6
rh_eba,quilted_speech,auditory,julian,eba,rh,0.30620570746880293,0.19383681649786458,0.07913354896421074,6
rh_eba,scenes,visual,julian,eba,rh,0.16900706854728734,0.1421624627826972,0.05803758239916868,6
rh_eba,words_scr_objects,visual,julian,eba,rh,0.19140540653876437,0.22769451142501146,0.09295589503726545,6
rh_ffa,bodies,visual,julian,ffa,rh,0.10916803909321726,0.08390145007208538,0.03425262355936801,6
rh_ffa,faces,visual,julian,ffa,rh,0.16537245780381934,0.1630968749083242,0.06658402036132187,6
rh_ffa,false_belief,auditory,julian,ffa,rh,0.15098191769736238,0.08285500040279212,0.033825412270822565,6
rh_ffa,false_photo,auditory,julian,ffa,rh,0.05537614623486454,0.08368499863565967,0.03416425763047877,6
rh_ffa,math,auditory,julian,ffa,rh,0.17156527957252588,0.15738751038012,0.06425318205304749,6
rh_ffa,nonwords,auditory,julian,ffa,rh,0.07154586773151747,0.05017667889524019,0.020484543380136003,6
rh_ffa,objects,visual,julian,ffa,rh,0.06986567787574484,0.10607302758483642,0.043304132175835654,6
rh_ffa,quilted_speech,auditory,julian,ffa,rh,0.11608223383333006,0.1004458164234018,0.0410068328391008,6
rh_ffa,scenes,visual,julian,ffa,rh,0.11810727125480658,0.0758199838177975,0.030953378776613586,6
rh_ffa,words_scr_objects,visual,julian,ffa,rh,0.07222059256191347,0.10458414668508306,0.042696299093807046,6
rh_ifg,bodies,visual,language,ifg,rh,0.31416204884075155,0.24644884632136008,0.10061232019748655,6
rh_ifg,faces,visual,language,ifg,rh,0.26468316180284873,0.21087644496237892,0.08608994815498809,6
rh_ifg,false_belief,auditory,language,ifg,rh,0.5175312910813613,0.3251762087725068,0.13275263133089613,6
rh_ifg,false_photo,auditory,language,ifg,rh,0.44132432359576196,0.3499227088131632,0.142855347667458,6
rh_ifg,math,auditory,language,ifg,rh,0.16916856084711243,0.21699928935591342,0.08858958891142481,6
rh_ifg,nonwords,auditory,language,ifg,rh,0.2356861830123056,0.22695380905479876,0.09265350456088359,6
